FattyAcid,F3E_A,F3E_B,F3E_C,F3E_D,F3E_E,F3E_F,F3E_G,F3E_H,F3E_I,F3E_J,F3H_A,F3H_B,F3H_C,F3H_D,F3H_E,F3H_F,F3H_G,F3H_H,F3H_I,F3H_J,F2E_A,F2E_B,F2E_C,F2E_D,F2E_E,F2E_F,F2E_G,F2E_H,F2E_I,F2E_J,F2H_A,F2H_B,F2H_C,F2H_D,F2H_E,F2H_F,F2H_G,F2H_H,F2H_I,F2H_J,F1E_A,F1E_B,F1E_C,F1E_D,F1E_E,F1E_F,F1E_G,F1E_H,F1E_I,F1E_J,F1H_A,F1H_B,F1H_C,F1H_D,F1H_E,F1H_F,F1H_G,F1H_H,F1H_I,F1H_J
C18:0,10703,12603,7461,-6503,1347,-7022,9018,9085,-3589,-6389,-7357,-5457,-10599,-24563,-16713,-25082,-9042,-8975,-21649,-24449,71713,113354,94300,470694,340217,131037,364203,352728,-31277,2675,-76721,-35080,-54134,322260,191783,-17397,215769,204294,-179711,-145759,-2977,-2153,2624,256,-349,771,2003,4899,2170,-3261,-7357,-5457,-10599,-24563,-16713,-25082,-9042,-8975,-21649,-24449
C18:0,-3060,-2834,6719,-6051,-6053,3005,-186,1160,-448,1638,-2331,-2105,7448,-5322,-5324,3734,543,1889,281,2367,-47755,-92554,-83638,-152022,2262,-40561,-112685,308894,-142203,42060,56047,11248,20164,-48220,106064,63241,-8883,412696,-38401,145862,-5158,-1792,-487,2955,-1560,2462,1888,-1741,-1829,-139,-2331,-2105,7448,-5322,-5324,3734,543,1889,281,2367
C18:0,-16373,2723,9354,-53336,-26176,-45408,14152,-37653,-23395,-20809,12658,31754,38385,-24305,2855,-16377,43183,-8622,5636,8222,-278352,-328911,-222425,-322171,-314977,-375403,-349627,-376695,74361,-250764,59841,9282,115768,16022,23216,-37210,-11434,-38502,412554,87429,-1424,-401,3316,3831,-33,2631,-333,1776,1448,-230,12658,31754,38385,-24305,2855,-16377,43183,-8622,5636,8222
C18:2n6,-8738,1965,14605,-19935,40965,42781,1830,-184,26678,-196,-21306,-10603,2037,-32503,28397,30213,-10738,-12752,14110,-12764,4398,-10571,-8186,1216,-15010,-2010,1996,92,-1856,3184,14619,-350,2035,11437,-4789,8211,12217,10313,8365,13405,5105,3764,1724,4674,4215,4655,6189,6088,8551,4492,-21306,-10603,2037,-32503,28397,30213,-10738,-12752,14110,-12764
C18:2n6,-11329,-13658,-12867,-12180,-10587,-5811,-10137,-3058,37954,-2081,8733,6404,7195,7882,9475,14251,9925,17004,58016,17981,-14981,-19073,-6019,941,299,-2134,-2068,5362,3277,90,-7662,-11754,1300,8260,7618,5185,5251,12681,10596,7409,-369,1449,-372,611,5796,1412,2287,3239,441,-1285,8733,6404,7195,7882,9475,14251,9925,17004,58016,17981
C18:2n6,-9826,-2193,-6713,16433,-23070,-3892,42897,-11747,-13384,1916,-658,6975,2455,25601,-13902,5276,52065,-2579,-4216,11084,-13646,-5474,301,-960,1856,3312,2551,5470,3519,-3082,1376,9548,15323,14062,16878,18334,17573,20492,18541,11940,3085,-1662,-2685,3251,8386,779,4649,3359,447,533,-658,6975,2455,25601,-13902,5276,52065,-2579,-4216,11084
C18:1n9,5864,17923,21291,9162,-16,5070,15795,13880,27031,22856,-6239,5820,9188,-2941,-12119,-7033,3692,1777,14928,10753,783,1078,4122,5825,13782,3104,14940,8704,10256,13109,7903,8198,11242,12945,20902,10224,22060,15824,17376,20229,792,3267,-629,82,3057,598,969,2085,3739,-1434,-6239,5820,9188,-2941,-12119,-7033,3692,1777,14928,10753
C18:1n9,3373,2960,-10582,6011,11613,12574,21604,11287,-12723,-4617,-6071,-6484,-20026,-3433,2169,3130,12160,1843,-22167,-14061,11396,14557,5420,1114,2062,4907,11064,9811,4191,2218,12458,15619,6482,2176,3124,5969,12126,10873,5253,3280,-4874,-6876,-7490,-4599,-5823,-3159,-1580,-2209,-3993,-2773,-6071,-6484,-20026,-3433,2169,3130,12160,1843,-22167,-14061
C18:1n9,-13677,-15818,-13822,-15342,-7546,-35411,-2969,36374,-3604,43080,-9875,-12016,-10020,-11540,-3744,-31609,833,40176,198,46882,6123,798,908,2270,7298,17939,9920,10095,5831,3681,11756,6431,6541,7903,12931,23572,15553,15728,11464,9314,-7465,-1138,-8709,-4000,-6000,-2348,-3576,-1601,-1783,-3197,-9875,-12016,-10020,-11540,-3744,-31609,833,40176,198,46882
C16:0,-732,-5756,7391,-10795,-8975,-12256,9733,-5154,3215,2336,-14908,-19932,-6785,-24971,-23151,-26432,-4443,-19330,-10961,-11840,9199,5302,10662,4765,5652,5747,8193,-871,1147,1506,24278,20381,25741,19844,20731,20826,23272,14208,16226,16585,11124,9092,5371,2322,1770,2018,3266,3421,3371,1026,-14908,-19932,-6785,-24971,-23151,-26432,-4443,-19330,-10961,-11840
C16:0,-9644,-17113,39185,-8906,-32632,34283,-1114,3300,-421,-30323,-99350,-106819,-50521,-98612,-122338,-55423,-90820,-86406,-90127,-120029,9103,3169,2673,4514,-1555,7488,12443,3167,4849,2180,18670,12736,12240,14081,8012,17055,22010,12734,14416,11747,1059,2728,-3691,-2345,-5292,-1229,144,-2197,-558,2095,-99350,-106819,-50521,-98612,-122338,-55423,-90820,-86406,-90127,-120029
C16:0,-4283,-2111,8988,11517,-12544,-2643,-24589,-15629,1446,8245,-98645,-96473,-85374,-82845,-106906,-97005,-118951,-109991,-92916,-86117,17083,5371,94624,6651,4546,9830,29183,11139,6146,3161,14646,2934,92187,4214,2109,7393,26746,8702,3709,724,7836,1073,72,1034,840,1520,4796,4203,3379,-1793,-98645,-96473,-85374,-82845,-106906,-97005,-118951,-109991,-92916,-86117
